Date,AGG,SPY,AAPL,CISCO
3/6/13,183.7113275,273.79,55.73557485,18.79335925
3/7/13,184.628209,273.88,56.37979262,18.86865385
3/8/13,185.4745613,274.19,56.52880072,18.8928866
3/11/13,185.2100762,271.24,57.33407294,18.93615935
3/12/13,185.6244361,274.13,56.09801282,18.78037742
3/13/13,186.9556776,275.1,56.08753773,18.67219552
3/14/13,190.2529248,265.74,56.63093281,18.68517735
3/15/13,189.4771019,261.82,58.09220728,18.97510484
3/18/13,187.9695371,257.89,59.67132647,18.75441377
3/19/13,188.1723089,256.41,59.51027203,18.62459549
3/20/13,189.6005283,257.278,59.19471007,18.75441377
3/21/13,187.132001,253.39,59.27982014,18.03608597
3/22/13,186.97331,257.75,60.48183624,17.958195
3/25/13,185.7919433,256.02,60.70050366,18.04474052
3/26/13,187.2201627,260.31,60.38048978,18.04041324
3/27/13,185.9241859,265.3,59.19471007,18.02743142
3/28/13,188.0488826,266.49,57.96126871,18.083686
4/1/13,187.237795,261.61,56.16086333,18.02743142
4/2/13,188.9833965,263.322,56.27635115,18.36495894
4/3/13,187.4846478,259.03,56.56415414,18.34505347
4/4/13,186.294465,259.08,56.00504643,18.35630438
4/5/13,184.6193929,255.48,55.41320408,17.98115178
4/8/13,184.5400474,258.95,55.80732918,17.94625386
4/9/13,184.4518857,261.14,55.90815188,18.29523303
4/10/13,186.9027806,264.77,57.04862686,18.73145699
4/11/13,187.7138682,269.85,56.8705504,18.9190333
4/12/13,186.3561781,272.87,56.27739866,18.79252835
4/15/13,184.4871503,267.72,54.97455986,18.36502886
4/16/13,186.9027806,272.34,55.81125734,18.46099814
4/17/13,184.8486133,267.4,52.74205719,17.99860073
4/18/13,182.6269387,259.42,51.33446753,17.95497834
4/19/13,167.507209,260.32,51.1354409,17.85028459
4/22/13,165.5941004,263.55,52.20128088,17.96370282
4/23/13,168.9266122,268.9,53.17808264,18.24288615
4/24/13,169.0147739,268.78,53.09061567,17.78921323
4/25/13,170.9895958,274.7,53.47269443,18.00732521
4/26/13,171.3069778,254.81,54.62822733,18.03349865
4/29/13,175.5740036,249.74,56.319299,18.30395751
4/30/13,178.5626848,253.81,57.97698134,18.25161063
5/1/13,175.9971797,248.23,57.52000572,17.78048875
5/2/13,178.4304423,252.55,58.33575303,18.08584553
5/3/13,180.2994701,258.05,58.91973906,18.17309032
5/6/13,178.7742729,255.72,60.32470995,18.15564136
5/7/13,179.5236472,257.73,60.056024,17.78048875
5/8/13,181.4103074,258.68,60.73454768,18.07712105
5/9/13,180.0108919,260.16,60.20817462,18.17309032
5/10/13,181.1003103,263.63,59.70728563,18.40865126
5/13/13,179.3288982,264.51,59.94059445,18.55696741
5/14/13,179.9843207,268.33,58.50647019,18.55696741
5/15/13,180.0817484,266.56,56.52795868,18.50462053
5/16/13,181.2951656,264.12,57.28298292,20.84016363
5/17/13,184.6165632,269.9,57.10925353,21.14813775
5/20/13,183.8725701,267.63,58.3838842,20.89076561
5/21/13,184.8025615,268.86,57.95285604,20.94747473
5/22/13,183.3322895,262.96,58.17614708,20.36293462
5/23/13,182.5971535,261.8,58.27975201,20.51125076
5/24/13,182.2074428,261.74,58.67650882,20.52869972
5/28/13,184.0319972,267.29,58.18735118,20.84278098
5/29/13,184.1559961,265.53,58.65014624,21.043444
5/30/13,185.4314127,266.83,59.52406571,21.26155598
5/31/13,184.2445667,269.2,59.28087093,21.03908176
6/3/13,185.0682733,266.88,59.41070662,21.27028046
6/4/13,182.6237246,265.7,59.22485045,21.2528315
6/5/13,179.5680389,267.17,58.6712363,21.21793358
6/6/13,180.5068873,267.83,57.79468057,21.41859661
6/7/13,182.7654376,276.87,58.23638557,21.36624973
6/10/13,181.5874486,281.07,57.85136011,21.2528315
6/11/13,180.6663143,274.78,57.68132148,20.9998216
6/12/13,178.2040516,271.67,56.96821374,20.93002577
6/13/13,180.4803161,275.79,57.46580741,21.24410702
6/14/13,179.0897576,273.99,56.68613415,21.01727056
6/17/13,179.8337507,278.06,56.94316929,21.5494638
6/18/13,181.4545927,281.76,56.91285232,21.65415755
6/19/13,178.859474,278.16,55.75685326,21.53201484
6/20/13,174.7940834,273.44,54.94462222,21.3182651
6/21/13,173.120099,273.36,54.50463079,21.3583977
6/24/13,171.4195435,270.61,53.05996149,20.98673488
6/25/13,172.6949601,272.088,53.07182465,20.94311249
6/26/13,172.5886754,277.57,52.47075787,21.2746427
6/27/13,173.2883832,277.55,51.90528056,21.48839244
6/28/13,169.2672778,277.69,52.26776601,21.2310203
7/1/13,169.4178479,282.1,53.94047161,21.37933645
7/2/13,169.6127032,283.73,55.16237712,21.36615831
7/3/13,171.1626887,284.03,55.4668649,21.60336484
7/5/13,172.6506748,285.88,55.02133733,21.58579398
7/8/13,172.6949601,290.59,54.70894077,21.63411383
7/9/13,169.435562,291.53,55.67117488,22.09974146
7/10/13,170.2769827,292.33,55.457638,22.32376985
7/11/13,170.764121,299.66,56.32206694,22.72789949
7/12/13,170.1175556,307.55,56.21951651,22.78939747
7/15/13,171.8269682,306.57,56.3421025,22.78061205
7/16/13,171.6941123,306.87,56.70524702,22.58733265
7/17/13,172.3141065,308.69,56.7204055,22.59611808
7/18/13,175.3609353,304.11,56.91127057,22.71911406
7/19/13,171.4195435,305.23,56.0138884,22.68397235
7/22/13,171.9066818,303.48,56.19315393,22.59611808
7/23/13,172.6949601,301.06,55.22828357,22.45555125
7/24/13,174.138661,298.94,58.064897,22.48190753
7/25/13,174.6789416,303.4,57.79995309,22.40283869
7/26/13,174.7940834,312.01,58.12816719,22.39932452
7/29/13,173.7843785,306.1,59.02449485,22.25348643
7/30/13,173.6072373,302.41,59.75342014,22.55219095
7/31/13,172.7481025,301.22,59.64928796,22.48190753
8/1/13,173.4300961,305.57,60.19578421,22.74634888
8/2/13,172.8543872,304.21,60.96873501,23.00903315
8/5/13,173.1555273,300.99,61.87956209,23.11445827
8/6/13,169.1609931,300.75,61.32594794,23.026604
8/7/13,167.8501482,296.91,61.29035846,22.94753516
8/8/13,167.2893421,295.74,61.1690906,23.07053114
8/9/13,167.1914236,297.26,60.2986773,22.8886728
8/12/13,168.3219374,296.69,62.01164006,23.14081455
8/13/13,167.7255246,293.97,64.95857289,23.12368297
8/14/13,166.9332748,291.34,66.14344952,23.17332063
8/15/13,165.3843818,286.47,66.0651654,21.51111785
8/16/13,164.983806,284.82,66.6516329,21.32223118
8/19/13,163.9957191,285.57,67.3694585,21.32223118
8/20/13,164.2894747,287.09,66.48444986,21.36615831
8/21/13,164.5565252,284.57,66.65561345,21.14652264
8/22/13,164.8502808,289.73,66.73522442,21.09381008
8/23/13,165.0550195,290.01,66.47781561,20.96202867
8/26/13,164.449705,286.21,66.73655127,20.93567239
8/27/13,162.6693683,280.93,64.82854163,20.63257516
8/28/13,162.1530706,281.58,65.13451314,20.59743345
8/29/13,162.5803514,283.98,65.24119184,20.60182617
8/30/13,162.2509891,280.98,64.6462325,20.47883019
9/3/13,163.7553737,288.8,64.82721478,20.62818245
9/4/13,163.0165339,293.64,66.16879235,20.88295983
9/5/13,163.9245057,294.1,65.71487712,20.81267641
9/6/13,162.9275171,295.86,66.10629774,20.68968044
9/9/13,164.6633454,299.71,67.16114312,21.01474123
9/10/13,166.1054182,300.36,65.6312856,21.22119877
9/11/13,169.7551085,299.64,62.05807979,21.41447816
9/12/13,169.7818136,298.86,62.71885086,21.33980203
9/13/13,171.063656,297.92,61.68523507,21.36615831
9/16/13,171.936021,296.06,59.72415145,21.41887087
9/17/13,171.0547543,304.17,60.41411321,21.41008545
9/18/13,173.0665349,312.034,61.65604438,21.78346609
9/19/13,172.1496614,312.06,62.66710373,21.62532841
9/20/13,169.149794,316.34,62.01827431,21.53308142
9/23/13,170.0132573,311.49,65.10054579,21.32662389
9/24/13,169.1052856,314.13,64.89621096,21.20802063
9/25/13,168.6602014,312.65,63.89178586,21.46279801
9/26/13,169.3278277,318.12,64.51407829,20.88295983
9/27/13,166.3902721,316.01,64.0536615,20.49640104
9/30/13,164.8413791,312.64,63.25755178,20.58513386
10/1/13,165.9095811,320.95,64.74495011,20.56668446
10/2/13,164.6455421,320.51,64.95724604,20.637482
10/3/13,163.6663569,314.76,64.14123357,20.35871669
10/4/13,163.8799973,319.04,64.09081329,20.37199123
